mol_index,smiles,edges,target_swaps_formula,target_swaps,actual_swaps
11873,C=CCN1CC[C@]2(C)c3cc(O)ccc3C[C@H]1[C@H]2C,46,ceil(0.5 * num_edges),23,23
11874,CCn1ncnc1COc1cccc2c1[C@@H](O)CC(C)(C)O2,49,ceil(0.5 * num_edges),25,25
11875,COCCN(CC(C)C)C(=O)Nc1cc(Cl)ccc1C,47,ceil(0.5 * num_edges),24,24
11876,Cc1ccccc1C(=O)NC(=S)Nc1ccc(NC(=O)CCCCN(C)C)cc1,67,ceil(0.5 * num_edges),34,34
11877,CCCN1CC(c2ccccc2)OC2c3cc(O)ccc3CCC21,58,ceil(0.5 * num_edges),29,29
11878,CN1C(=O)N(C)C(=O)C2(Cc3cc(N)ccc3N3CCN(c4ccccc4F)CC32)C1=O,69,ceil(0.5 * num_edges),35,35
11879,O=S(=O)(Cc1ccccc1)N[C@@H](Cc1ccccc1)B(O)O,48,ceil(0.5 * num_edges),24,24
11880,CC(C)C(NC(=O)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12)C(=O)O,47,ceil(0.5 * num_edges),24,24
11881,CCOC(=O)c1cc(-c2ccc(OC)cc2)n(CCC(=O)Nc2ccc(OC)cc2OC)c1C,76,ceil(0.5 * num_edges),38,38
11882,COc1cccc(CNC(=O)CSc2nc3cc(C)ccc3[nH]2)c1,52,ceil(0.5 * num_edges),26,26
11883,c1ccc(-n2cnnn2)c(-c2cn(-c3ccc4[nH]ncc4c3)nn2)c1,50,ceil(0.5 * num_edges),25,25
11884,COc1ccc(Cc2noc(-c3cc4c(c(OC)c3OC)OCO4)n2)cc1,56,ceil(0.5 * num_edges),28,28
11885,COc1ccc(C(=O)/C=C/c2[nH]nc3c2Cc2ccc(OC)cc2-3)cc1,56,ceil(0.5 * num_edges),28,28
11886,Cc1cccc2nc(-c3ccc(C(=O)N/N=C/c4cccc(O)c4)cc3)[nH]c12,60,ceil(0.5 * num_edges),30,30
11887,COc1cc(O)c2c(O)cc(-c3cc(F)cc(F)c3)nc2c1,43,ceil(0.5 * num_edges),22,22
11888,COc1cc(C)ccc1OCC(=O)NC1CCCCCC1,51,ceil(0.5 * num_edges),26,26
11889,C/C=C/CN1CC[C@]23c4c5ccc(O)c4O[C@@H]2c2[nH]c4ccccc4c2C(C)[C@H]3[C@H]1C5,69,ceil(0.5 * num_edges),35,35
11890,C[C@@H]1CC2C3CCC4=CC(=O)C=CC4(C)[C@@]3(F)[C@@H](O)CC2(C)[C@@]1(O)C(=O)CO,62,ceil(0.5 * num_edges),31,31
11891,CCc1nc2ccccc2c(C(=O)OCC(=O)NC2CC2)c1C,52,ceil(0.5 * num_edges),26,26
11892,CC(C)N1CCNC(=O)[C@@H]1Cc1nc(-c2cccnc2)no1,48,ceil(0.5 * num_edges),24,24
11893,CCCNC(=O)Oc1ccc2c(c1)C1CCN(CC)C1C2,51,ceil(0.5 * num_edges),26,26
11894,COc1cccc(S(=O)(=O)N(C)C[C@H]2OCc3cnnn3CCCC(=O)N([C@H](C)CO)C[C@@H]2C)c1,77,ceil(0.5 * num_edges),39,39
11895,CN(C)c1cccc2c(S(=O)(=O)Nc3cnc(Br)nc3)cccc12,51,ceil(0.5 * num_edges),26,26
11896,C[C@@H]1CCCN1CCc1ccc2nc(-c3c(O)ccnc3C(F)(F)F)ccc2c1,61,ceil(0.5 * num_edges),31,31
