,Feature,Category1,Category2,JS_Distance
105,NumAliphaticRings,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.1322335091438867
106,NumAliphaticRings,ori,jtvae,0.11673021399036572
107,NumAliphaticRings,ori,digress,0.13740868682819826
108,NumAliphaticRings,ori,defog_strict,0.08270839928007609
109,NumAliphaticRings,ori,defog_relaxed,0.06733427045394233
110,NumAliphaticRings,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.23669240061821195
111,NumAliphaticRings,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.06578548913946579
112,NumAliphaticRings,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_strict,0.07285614427541624
113,NumAliphaticRings,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_relaxed,0.08066631065902029
114,NumAliphaticRings,jtvae,digress,0.23351190067616542
115,NumAliphaticRings,jtvae,defog_strict,0.19484624874222706
116,NumAliphaticRings,jtvae,defog_relaxed,0.17998122251144288
117,NumAliphaticRings,digress,defog_strict,0.0807784668388297
118,NumAliphaticRings,digress,defog_relaxed,0.08771166085154207
119,NumAliphaticRings,defog_strict,defog_relaxed,0.01717777287241121
120,NumAromaticRings,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.0691770028074848
121,NumAromaticRings,ori,jtvae,0.22115054991938476
122,NumAromaticRings,ori,digress,0.14082713663072802
123,NumAromaticRings,ori,defog_strict,0.13147271737719268
124,NumAromaticRings,ori,defog_relaxed,0.12786213111472064
125,NumAromaticRings,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.2517550286820945
126,NumAromaticRings,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.10212543809329927
127,NumAromaticRings,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_strict,0.10058599753258378
128,NumAromaticRings,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_relaxed,0.1015360507110709
129,NumAromaticRings,jtvae,digress,0.23953904306509902
130,NumAromaticRings,jtvae,defog_strict,0.2238030998800761
131,NumAromaticRings,jtvae,defog_relaxed,0.21392514190757964
132,NumAromaticRings,digress,defog_strict,0.022717644832457366
133,NumAromaticRings,digress,defog_relaxed,0.03290487953455575
134,NumAromaticRings,defog_strict,defog_relaxed,0.013663053429252867
135,internal_similarity,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.06406738074457505
136,internal_similarity,ori,jtvae,0.3875624449788794
137,internal_similarity,ori,digress,0.14976529944670766
138,internal_similarity,ori,defog_strict,0.08665512164380229
139,internal_similarity,ori,defog_relaxed,0.1107575324984333
140,internal_similarity,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.35528448437295196
141,internal_similarity,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.17995581131501245
142,internal_similarity,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_strict,0.08540831693462546
143,internal_similarity,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_relaxed,0.09965911030496104
144,internal_similarity,jtvae,digress,0.5020263506561239
145,internal_similarity,jtvae,defog_strict,0.31728918034581644
146,internal_similarity,jtvae,defog_relaxed,0.2905335620021222
147,internal_similarity,digress,defog_strict,0.22897527473734425
148,internal_similarity,digress,defog_relaxed,0.251608754951299
149,internal_similarity,defog_strict,defog_relaxed,0.04266484976076183
